Unit_Name,Designation,State,Region,NPS_Fee_Acres,NPS_Less_Than_Fee_Acres,Other_Federal_Fee_Acres,Subtotal_Federal_Acres,Other_Public_Acres,Private_Acres,Subtotal_Non_Federal_Acres,Gross_Area_Acres
FDR MEMORIAL,Memorial,DC,National Capital,8.14,0.0,0.0,8.14,0.0,0.0,0.0,8.14
EVERGLADES NP,National Park,FL,Southeast,1400253.48,0.0,0.0,1400253.48,0.0,285.82,285.82,1400539.3
CUMBERLAND ISLAND NS,National Seashore,GA,Southeast,18866.37,1.63,656.92,19524.92,13820.15,3001.76,16821.91,36346.83
CUMBERLAND GAP NHP,National Historical Park,KY-TN-VA,Southeast,24344.95,185.61,0.0,24530.56,10.06,6.21,16.27,24546.83
CUYAHOGA VALLEY NP,National Park,OH,Midwest,19053.48,1453.67,0.0,20507.15,8456.92,3608.28,12065.2,32572.35
CURECANTI NRA,National Recreation Area,CO,Intermountain,1122.3,1.38,41971.04,43094.72,0.0,0.0,0.0,43094.72
CRATER LAKE NP,National Park,OR,Pacific West,183223.77,0.0,0.0,183223.77,0.0,0.28,0.28,183224.05
DINOSAUR NM,National Monument,CO-UT,Intermountain,203097.93,2667.58,0.0,205765.51,50.96,4465.45,4516.41,210281.92
CRATERS OF THE MOON NPRES,National Preserve,ID,Pacific West,410732.92,0.0,0.0,410732.92,0.0,0.0,0.0,410732.92
CRATERS OF THE MOON NM,National Monument,ID,Pacific West,53398.31,0.0,172.74,53571.05,0.0,0.0,0.0,53571.05
DAYTON AVIATION HR NHP,National Historical Park,OH,Midwest,0.69,0.0,84.41,85.1,0.48,24.94,25.42,110.52
DENALI NP,National Park,AK,Alaska,4732648.51,2.0,0.0,4732650.51,5663.0,2597.65,8260.65,4740911.16
DENALI N PRESERVE,National Preserve,AK,Alaska,1304241.97,0.0,0.0,1304241.97,640.0,29235.83,29875.83,1334117.8
DEVILS TOWER NM,National Monument,WY,Intermountain,1346.91,0.0,0.0,1346.91,0.0,0.3,0.3,1347.21
DEVILS POSTPILE NM,National Monument,CA,Pacific West,800.19,0.0,0.0,800.19,0.0,0.0,0.0,800.19
DEATH VALLEY NP,National Park,CA-NV,Pacific West,3320765.33,0.0,393.99,3321159.32,42187.93,9715.89,51903.82,3373063.14
DE SOTO NMEM,Memorial,FL,Southeast,24.78,0.0,0.0,24.78,0.0,5.22,5.22,30.0
DELAWARE NSR,National River,NJ-PA,Northeast,0.0,0.0,0.0,0.0,1973.33,0.0,1973.33,1973.33
DEL WATER GAP NRA,National Recreation Area,NJ-PA,Northeast,57220.12,53.06,0.0,57273.18,7525.31,2809.71,10335.02,67608.2
FT NECESSITY NB,National Battlefield,PA,Northeast,894.47,0.0,0.0,894.47,8.33,0.0,8.33,902.8
FT MONROE NM,National Monument,VA,Northeast,121.11,64.54,141.47,327.12,0.41,0.0,0.41,327.53
FT PULASKI NM,National Monument,GA,Southeast,5365.13,0.0,0.0,5365.13,257.97,0.0,257.97,5623.1
FT POINT NHS,National Historic Site,CA,Pacific West,29.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0
FT LARNED NHS,National Historic Site,KS,Midwest,410.46,269.2,0.0,679.66,38.73,0.0,38.73,718.39
