Unit_Name,Designation,State,Region,NPS_Fee_Acres,NPS_Less_Than_Fee_Acres,Other_Federal_Fee_Acres,Subtotal_Federal_Acres,Other_Public_Acres,Private_Acres,Subtotal_Non_Federal_Acres,Gross_Area_Acres
LONGFELLOW HOUSE-WASH HQ NHS,National Historic Site,MA,Northeast,1.98,0.0,0.0,1.98,0.0,0.0,0.0,1.98
MAMMOTH CAVE NP,National Park,KY,Southeast,52003.24,0.0,0.0,52003.24,814.75,12.2,826.95,52830.19
MAGGIE L WALKER NHS,National Historic Site,VA,Northeast,0.36,0.0,0.0,0.36,0.0,0.93,0.93,1.29
MANHATTAN PROJECT NHP,National Historical Park,NM-TN-WA,Intermountain,0.0,0.0,113.61,113.61,0.0,0.0,0.0,113.61
MANASSAS NBP,National Battlefield Park,VA,National Capital,4400.73,21.52,0.0,4422.25,0.0,650.38,650.38,5072.63
LOWER ST CROIX NSR,National River,MN-WI,Midwest,4916.4,3488.93,0.0,8405.33,4496.83,12374.29,16871.12,25276.45
LOWELL NHP,National Historical Park,MA,Northeast,10.62,21.04,0.0,31.66,4.46,105.17,109.63,141.29
M MCLEOD BETHUNE HOUSE NHS,National Historic Site,DC,National Capital,0.07,0.0,0.0,0.07,0.0,0.0,0.0,0.07
LYNDON B JOHNSON NHP,National Historical Park,TX,Intermountain,672.27,2.05,0.0,674.32,0.06,895.77,895.83,1570.15
NORTH CASCADES NP,National Park,WA,Pacific West,504654.18,0.0,0.0,504654.18,0.0,126.76,126.76,504780.94
NOATAK N PRESERVE,National Preserve,AK,Alaska,6549220.04,0.0,0.0,6549220.04,1197.0,36654.35,37851.35,6587071.39
OBED WILD & SCENIC RVR,National River,TN,Southeast,2632.71,1081.12,0.0,3713.83,350.44,1368.42,1718.86,5432.69
NP OF AMERICAN SAMOA,Other Designation,SAMOA,Pacific West,0.0,0.0,0.0,0.0,8256.67,0.0,8256.67,8256.67
NICODEMUS NHS,National Historic Site,KS,Midwest,0.22,1.42,0.0,1.64,12.93,2.95,15.88,17.52
NIOBRARA N SCENIC RIVER,National River,NE,Midwest,185.88,0.0,844.52,1030.4,398.68,27671.94,28070.62,29101.02
NINETY SIX NHS,National Historic Site,SC,Southeast,1021.94,0.0,0.0,1021.94,0.0,0.0,0.0,1021.94
OCMULGEE NM,National Monument,GA,Southeast,701.54,0.0,0.0,701.54,2.16,0.0,2.16,703.7
PADRE ISLAND NS,National Seashore,TX,Intermountain,130355.46,0.0,0.0,130355.46,78.81,0.0,78.81,130434.27
OREGON CAVES NM,National Monument,OR,Pacific West,4554.03,0.0,0.0,4554.03,0.0,0.0,0.0,4554.03
OLYMPIC NP,National Park,WA,Pacific West,913387.17,64.88,100.0,913552.05,8749.47,348.58,9098.05,922650.1
OZARK NS RIVERWAYS,Other Designation,MO,Midwest,52206.33,9162.09,0.0,61368.42,14062.59,5354.03,19416.62,80785.04
ORGAN PIPE CACTUS NM,National Monument,AZ,Intermountain,329114.5,24.42,226.37,329365.29,1280.0,43.57,1323.57,330688.86
MUIR WOODS NM,National Monument,CA,Pacific West,522.98,0.0,0.0,522.98,30.57,0.0,30.57,553.55
MT RUSHMORE NMEM,Memorial,SD,Midwest,1238.45,1.07,0.0,1239.52,38.93,0.0,38.93,1278.45
NATCHEZ TRACE NS TRAIL,National Scenic Trail,TN-MS-AL,Southeast,0.0,0.0,0.0,0.0,0.0,10995.0,10995.0,10995.0
NATCHEZ NHP,National Historical Park,MS,Southeast,85.98,0.0,0.0,85.98,5.02,17.3,22.32,108.3
MOORES CREEK NB,National Battlefield,NC,Southeast,85.35,2.4,0.0,87.75,0.0,0.0,0.0,87.75
NEZ PERCE NHP,National Historical Park,MT-ID-OR-WA,Pacific West,1968.18,1885.33,5.12,3858.63,261.2,445.1,706.3,4564.93
MT RAINIER NP,National Park,WA,Pacific West,236326.85,0.0,0.0,236326.85,20.7,34.09,54.79,236381.64
MORRISTOWN NHP,National Historical Park,NJ,Northeast,1704.74,0.95,0.0,1705.69,0.0,5.03,5.03,1710.72
NATCHEZ TRACE PKWY,Parkway,TN-MS-AL,Southeast,46320.02,5887.28,0.0,52207.3,34.54,60.16,94.7,52302.0
NEW BEDFORD WHALING,Other Designation,MA,Northeast,0.34,0.0,0.0,0.34,0.0,33.66,33.66,34.0
NAVAJO NM,National Monument,AZ,Intermountain,360.0,0.0,0.0,360.0,0.0,0.0,0.0,360.0
NEW RIVER GORGE N RVR,National River,WV,Northeast,53689.64,163.92,0.0,53853.56,4607.99,13724.21,18332.2,72185.76
NEW ORLEANS JAZZ NHP,National Historical Park,LA,Southeast,0.0,0.0,0.0,0.0,5.13,0.0,5.13,5.13
NATIONAL MALL,Other Designation,DC,National Capital,150.44,5.4,0.0,155.84,0.0,0.0,0.0,155.84
NATIONAL CAPITAL PARKS,Other Designation,DC-MD,National Capital,8430.87,31.6,0.0,8462.47,192.67,38.23,230.9,8693.37
NATURAL BRIDGES NM,National Monument,UT,Intermountain,7620.49,16.0,0.0,7636.49,0.0,0.0,0.0,7636.49
NATIONAL WWII MEMORIAL,Memorial,DC,National Capital,8.25,0.0,0.0,8.25,0.0,0.0,0.0,8.25
PUUHONUA O HONAUNAU,Other Designation,HI,Pacific West,418.78,1.02,0.0,419.8,0.0,0.0,0.0,419.8
PULLMAN NM,National Monument,IL,Midwest,0.24,0.16,0.0,0.4,0.0,0.0,0.0,0.4
R REAGAN BOYHOOD HOME NHS,National Historic Site,IL,Midwest,0.0,0.0,0.0,0.0,0.0,1.01,1.01,1.01
PUUKOHOLA HEIAU NHS,National Historic Site,HI,Pacific West,60.95,0.0,0.0,60.95,25.29,0.0,25.29,86.24
POVERTY POINT NM,National Monument,LA,Southeast,0.0,0.0,0.0,0.0,415.14,495.71,910.85,910.85
PRINCE WM FOREST PARK,Park,VA,National Capital,14562.03,41.89,0.0,14603.92,0.0,1476.9,1476.9,16080.82
PRESIDENT WJ CLINTON BP NHS,National Historic Site,AR,Midwest,0.68,0.0,0.0,0.68,0.0,0.0,0.0,0.68
RAINBOW BRIDGE NM,National Monument,UT,Intermountain,160.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0
ROCK CREEK PARK,Park,DC,National Capital,1755.21,0.0,0.0,1755.21,0.0,0.0,0.0,1755.21
RICHMOND NBP,National Battlefield Park,VA,Northeast,3588.54,22.43,1.42,3612.39,2.7,4554.6,4557.3,8169.69
REDWOOD NP,National Park,CA,Pacific West,77715.18,29.36,1.92,77746.46,61101.92,150.99,61252.91,138999.37
RIVER RAISIN NBP,National Battlefield Park,MI,Midwest,42.18,0.0,0.0,42.18,0.0,0.0,0.0,42.18
RIO GRANDE WILD & SR,Other Designation,TX,Intermountain,0.0,0.0,0.0,0.0,2150.0,7450.0,9600.0,9600.0
PENNSYLVANIA AVE NHS,National Historic Site,DC,National Capital,15.59,0.0,0.84,16.43,1.18,0.0,1.18,17.61
PECOS NHP,National Historical Park,NM,Intermountain,6405.68,0.0,0.0,6405.68,51.51,236.99,288.5,6694.18
PETERSBURG NB,National Battlefield,VA,Northeast,2656.14,0.12,1.17,2657.43,0.0,82.29,82.29,2739.72
PERRYS VIC & INT PEACE M,Other Designation,OH,Midwest,23.12,0.02,0.0,23.14,2.24,0.0,2.24,25.38
PALO ALTO BTLFLD NHP,National Historical Park,TX,Intermountain,1798.93,0.0,0.0,1798.93,0.0,1642.81,1642.81,3441.74
PEA RIDGE NMP,National Military Park,AR,Midwest,4278.75,0.0,0.0,4278.75,17.83,3.77,21.6,4300.35
PATERSON GREAT FALLS NHP,National Historical Park,NJ,Northeast,0.39,0.0,0.0,0.39,50.47,0.46,50.93,51.32
PETRIFIED FOREST NP,National Park,AZ,Intermountain,146930.01,0.0,0.0,146930.01,35900.69,38585.07,74485.76,221415.77
PISCATAWAY PARK,Park,MD,National Capital,1918.85,2671.72,0.0,4590.57,0.0,35.8,35.8,4626.37
PIPESTONE NM,National Monument,MN,Midwest,281.78,0.0,0.0,281.78,0.0,0.0,0.0,281.78
POINT REYES NS,National Seashore,CA,Pacific West,64856.5,42.98,334.87,65234.35,2696.98,3124.08,5821.06,71055.41
PICTURED ROCKS NL,National Lakeshore,MI,Midwest,35705.86,21.3,44.16,35771.32,13939.75,23524.76,37464.51,73235.83
PETROGLYPH NM,National Monument,NM,Intermountain,2936.37,0.0,0.0,2936.37,4160.95,111.98,4272.93,7209.3
PIPE SPRING NM,National Monument,AZ,Intermountain,40.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0
PINNACLES NP,National Park,CA,Pacific West,26674.6,0.31,0.0,26674.91,0.0,10.82,10.82,26685.73
SEQUOIA NP,National Park,CA,Pacific West,403893.31,15.36,0.0,403908.67,0.0,153.96,153.96,404062.63
SCOTTS BLUFF NM,National Monument,NE,Midwest,2953.94,0.27,0.0,2954.21,5.95,44.57,50.52,3004.73
SHILOH NMP,National Military Park,TN-MS,Southeast,5047.96,0.01,0.0,5047.97,958.76,1914.79,2873.55,7921.52
SHENANDOAH NP,National Park,VA,Northeast,197536.49,818.31,0.0,198354.8,72.11,768.36,840.47,199195.27
SANTA MONICA MTS NRA,National Recreation Area,CA,Pacific West,23570.56,33.38,16.45,23620.39,50548.82,82501.97,133050.79,156671.18
SAUGUS IRON WORKS NHS,National Historic Site,MA,Northeast,8.51,0.0,0.0,8.51,0.0,0.0,0.0,8.51
SARATOGA NHP,National Historical Park,NY,Northeast,2911.13,2.04,0.0,2913.17,59.18,606.79,665.97,3579.14
SITKA NHP,National Historical Park,AK,Alaska,58.22,0.0,0.0,58.22,54.63,3.44,58.07,116.29
STATUE OF LIBERTY NM,National Monument,NY-NJ,Northeast,58.38,0.0,0.0,58.38,0.0,0.0,0.0,58.38
SPRINGFIELD ARMORY NHS,National Historic Site,MA,Northeast,20.32,0.28,0.0,20.6,34.33,0.0,34.33,54.93
SLEEPING BEAR DUNES NL,National Lakeshore,MI,Midwest,57011.72,663.61,1.85,57677.18,12067.29,1460.59,13527.88,71205.06
ST PAULS CHURCH NHS,National Historic Site,NY,Northeast,6.13,0.0,0.0,6.13,0.0,0.0,0.0,6.13
ST CROIX ISLAND IHS,International Historic Site,ME,Northeast,6.5,0.0,0.0,6.5,0.0,0.0,0.0,6.5
RUSSELL CAVE NM,National Monument,AL,Southeast,310.45,0.0,0.0,310.45,0.0,0.0,0.0,310.45
ROSS LAKE NRA,National Recreation Area,WA,Pacific West,115959.59,0.0,0.0,115959.59,1609.37,5.63,1615.0,117574.59
SAGUARO NP,National Park,AZ,Intermountain,87826.51,13.64,0.0,87840.15,3009.67,865.9,3875.57,91715.72
SAGAMORE HILL NHS,National Historic Site,NY,Northeast,83.02,0.0,0.0,83.02,0.0,0.0,0.0,83.02
ROCKY MT NP,National Park,CO,Intermountain,264209.16,1220.7,0.0,265429.86,117.04,248.3,365.34,265795.2
SAND CREEK MASSACRE NHS,National Historic Site,CO,Intermountain,3025.43,0.0,0.0,3025.43,0.0,9557.91,9557.91,12583.34
ROSIE THE RIVETER NHP,National Historical Park,CA,Pacific West,0.0,0.0,0.0,0.0,145.19,0.0,145.19,145.19
ROGER WILLIAMS NMEM,Memorial,RI,Northeast,4.56,0.0,0.0,4.56,0.0,0.0,0.0,4.56
SAINT CROIX NSR,National River,MN-WI,Midwest,20355.16,11057.45,804.44,32217.05,30716.34,4533.24,35249.58,67466.63
SAN FRAN MARITIME NHP,National Historical Park,CA,Pacific West,30.03,0.0,0.0,30.03,19.83,0.0,19.83,49.86
SAN ANTONIO MISSIONS NHP,National Historical Park,TX,Intermountain,463.3,69.68,0.0,532.98,267.43,147.32,414.75,947.73
SAN JUAN NHS,National Historic Site,PR,Southeast,53.2,0.0,0.0,53.2,21.93,0.0,21.93,75.13
SAN JUAN ISLAND NHP,National Historical Park,WA,Pacific West,2114.52,0.0,0.0,2114.52,26.54,4.5,31.04,2145.56
SALEM MARITIME NHS,National Historic Site,MA,Northeast,8.93,0.0,0.0,8.93,0.0,0.09,0.09,9.02
SAINT-GAUDENS NHS,National Historic Site,NH,Northeast,190.75,0.0,0.0,190.75,0.0,0.0,0.0,190.75
SALT RVR BAY NHP,National Historical Park,VI,Southeast,224.67,0.0,0.0,224.67,659.49,105.26,764.75,989.42
SALINAS PUEBLO MSNS NM,National Monument,NM,Intermountain,979.87,5.26,0.0,985.13,5.68,80.61,86.29,1071.42
TUZIGOOT NM,National Monument,AZ,Intermountain,366.42,15.11,0.0,381.53,0.0,430.36,430.36,811.89
TUSKEGEE INSTITUTE NHS,National Historic Site,AL,Southeast,7.9,1.02,0.0,8.92,0.0,49.0,49.0,57.92
UPPER DEL SCENIC & R RVR,National River,NY-PA,Northeast,30.47,0.28,0.0,30.75,1327.96,73640.85,74968.81,74999.56
ULYSSES S GRANT NHS,National Historic Site,MO,Midwest,9.6,0.0,0.0,9.6,0.0,0.0,0.0,9.6
TUMACACORI NHP,National Historical Park,AZ,Intermountain,357.74,0.0,0.0,357.74,0.64,1.94,2.58,360.32
TUSKEGEE AIRMEN NHS,National Historic Site,AL,Southeast,44.71,0.0,0.0,44.71,0.4,44.57,44.97,89.68
TUPELO NB,National Battlefield,MS,Southeast,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
VALLES CALDERA N PRES,National Preserve,NM,Intermountain,89766.09,0.0,0.0,89766.09,0.0,0.0,0.0,89766.09
VIRGIN ISLANDS CORAL REEF,Other Designation,VI,Southeast,11608.48,0.0,0.0,11608.48,1099.59,0.0,1099.59,12708.07
VANDERBILT MANSION NHS,National Historic Site,NY,Northeast,211.65,0.0,0.0,211.65,0.0,0.0,0.0,211.65
VALLEY FORGE NHP,National Historical Park,PA,Northeast,3145.73,29.13,0.0,3174.86,218.03,74.81,292.84,3467.7
VICKSBURG NMP,National Military Park,MS-LA,Southeast,1747.68,-0.95,0.0,1746.73,4.84,50.61,55.45,1802.18
SUNSET CRATER VOLC NM,National Monument,AZ,Intermountain,3040.0,0.0,0.0,3040.0,0.0,0.0,0.0,3040.0
STEAMTOWN NHS,National Historic Site,PA,Northeast,51.29,0.0,0.0,51.29,10.55,0.64,11.19,62.48
TULE SPRINGS FOSSIL BEDS NM,National Monument,NV,Pacific West,22650.0,0.0,0.0,22650.0,0.0,0.0,0.0,22650.0
STONEWALL NM,National Monument,NY,Northeast,0.12,0.0,0.0,0.12,7.53,0.05,7.58,7.7
STONES RIVER NB,National Battlefield,TN,Southeast,649.15,0.0,0.0,649.15,13.07,47.24,60.31,709.46
T ROOSEVELT ISLAND,Other Designation,DC,National Capital,88.5,0.0,0.0,88.5,0.0,0.0,0.0,88.5
TIMPANOGOS CAVE NM,National Monument,UT,Intermountain,250.0,0.0,0.0,250.0,0.0,0.0,0.0,250.0
THOMAS STONE NHS,National Historic Site,MD,Northeast,328.25,0.0,0.0,328.25,0.0,0.0,0.0,328.25
TONTO NM,National Monument,AZ,Intermountain,1120.0,0.0,0.0,1120.0,0.0,0.0,0.0,1120.0
TIMUCUAN ECO & H PRES,Other Designation,FL,Southeast,7537.61,1330.0,0.0,8867.61,16006.56,21388.5,37395.06,46262.67
TALLGRASS PRAIRIE NPRE,National Preserve,KS,Midwest,33.12,0.0,0.0,33.12,17.3,10832.25,10849.55,10882.67
T ROOSEVELT NP,National Park,ND,Midwest,69550.88,0.0,151.24,69702.12,54.33,690.44,744.77,70446.89
THOMAS JEFFERSON MEM,Memorial,DC,National Capital,18.36,0.0,0.0,18.36,0.0,0.0,0.0,18.36
THOMAS EDISON NHP,National Historical Park,NJ,Northeast,21.25,0.0,0.0,21.25,0.0,0.0,0.0,21.25
WORLD WAR I NMEM,Memorial,DC,National Capital,1.39,0.0,0.0,1.39,0.0,0.0,0.0,1.39
WRANGELL-ST ELIAS N PRES,National Preserve,AK,Alaska,4323496.19,400.0,0.0,4323896.19,39779.85,488968.48,528748.33,4852644.52
WRANGELL-ST ELIAS NP,National Park,AK,Alaska,7956689.0,0.0,0.0,7956689.0,17585.84,348871.64,366457.48,8323146.48
ZION NP,National Park,UT,Intermountain,143747.65,0.0,0.0,143747.65,5.13,3484.24,3489.37,147237.02
WIND CAVE NP,National Park,SD,Midwest,33970.84,0.0,0.0,33970.84,0.0,0.0,0.0,33970.84
WOLF TRAP NP FOR PERF ARTS,Other Designation,VA,National Capital,117.89,12.39,0.0,130.28,0.0,0.0,0.0,130.28
YOSEMITE NP,National Park,CA,Pacific West,759690.11,10.83,319.11,760020.05,1502.7,224.75,1727.45,761747.5
YUCCA HOUSE NM,National Monument,CO,Intermountain,33.87,0.0,0.0,33.87,0.0,0.0,0.0,33.87
YUKON-CHARLEY RIVERS N PR,Other Designation,AK,Alaska,2195546.98,0.0,0.0,2195546.98,46167.0,284798.46,330965.46,2526512.44
YELLOWSTONE NP,National Park,ID-MT-WY,Intermountain,2219789.13,0.0,0.0,2219789.13,0.0,1.58,1.58,2219790.71
WRIGHT BROTHERS NMEM,Memorial,NC,Southeast,421.81,0.0,0.0,421.81,6.63,0.0,6.63,428.44
WUPATKI NM,National Monument,AZ,Intermountain,35401.73,20.4,0.0,35422.13,0.0,0.0,0.0,35422.13
WWII VALOR IN THE PACIFIC NM,National Monument,HI-CA,Pacific West,15.0,0.0,41.66,56.66,2.37,0.0,2.37,59.03
WALNUT CANYON NM,National Monument,AZ,Intermountain,3251.42,0.0,0.0,3251.42,0.0,277.84,277.84,3529.26
WAR IN THE PACIFIC NHP,National Historical Park,GUAM,Pacific West,957.52,0.0,0.73,958.25,871.96,200.44,1072.4,2030.65
WASHINGTON MONUMENT,National Monument,DC,National Capital,101.01,0.0,5.0,106.01,0.0,0.0,0.0,106.01
WACO MAMMOTH NM,National Monument,TX,Intermountain,4.93,2.18,0.0,7.11,100.12,0.0,100.12,107.23
WILSONS CREEK NB,National Battlefield,MO,Midwest,1975.2,0.0,0.0,1975.2,7.08,385.82,392.9,2368.1
VIRGIN ISLANDS NP,National Park,VI,Southeast,13101.98,3.0,0.0,13104.98,133.48,1710.0,1843.48,14948.46
VOYAGEURS NP,National Park,MN,Midwest,133108.69,0.0,139.03,133247.72,83903.18,1049.25,84952.43,218200.15
WHITE SANDS NM,National Monument,NM,Intermountain,141209.24,0.0,2524.01,143733.25,0.0,0.0,0.0,143733.25
WHITMAN MISSION NHS,National Historic Site,WA,Pacific West,138.53,0.0,0.0,138.53,0.0,0.0,0.0,138.53
WILLIAM H TAFT NHS,National Historic Site,OH,Midwest,1.92,0.0,0.0,1.92,1.07,0.65,1.72,3.64
WHITE HOUSE,Other Designation,DC,National Capital,18.07,0.0,0.0,18.07,0.0,0.0,0.0,18.07
WASHITA BATTLEFIELD NHS,National Historic Site,OK,Intermountain,312.2,0.0,0.0,312.2,3.0,0.0,3.0,315.2
WEIR FARM NHS,National Historic Site,CT,Northeast,68.05,0.0,0.0,68.05,0.0,6.15,6.15,74.2
WHISKEYTOWN-S-T NRA,National Recreation Area,CA,Pacific West,42463.16,0.0,0.0,42463.16,28.93,11.16,40.09,42503.25
